variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
804234,0,,,
805095,0,,,
805419,0,,,
805422,0,,,
805440,0,,,
805507,0,,,
805593,0,812507,,
805671,0,,,
805675,0,,,
805676,0,,,
806431,1,,,
806432,1,,,
806456,0,,,
806466,1,,,
806537,0,,,
806820,0,,,
809307,0,,,
809315,0,812507,,
809416,0,,,
809456,0,812507,,
809478,0,812507,,
809480,0,812507,,
809492,0,,,
809494,0,812507,,
809723,0,,,
809829,0,,,
809873,1,,,
809910,1,,,
809911,1,,,
809920,0,,,
810129,1,,,
810135,1,,,
810164,0,,,
810473,0,,,
810529,0,,,
810558,0,,,
811372,0,,,
811826,0,,,
811827,0,,,
811856,0,812507,,
812277,1,,,
812278,1,,,
812279,0,812507,,
812280,0,,,
812281,0,812507,,
812322,0,,,
812323,0,,,
812324,0,,,
812325,0,,,
812502,1,,,
812503,1,,,
812504,1,,,
812505,1,,,
812507,1,,,
812508,1,,,
812512,0,,,
812513,0,,,
812516,0,,,
812517,0,,,
812518,0,,,
812530,0,,,
812531,0,,,
812532,0,,,
812540,0,,,
812541,0,,,
812556,0,,,
812782,1,,,
812783,1,,,
812785,0,,,
812788,0,,,
813096,0,812507,,
813110,0,,,
813213,0,812507,,
813249,0,,,
813374,0,,,
813401,0,812507,,
813421,0,,,
813987,1,,,
813988,1,,,
813989,1,,,
813990,1,,,
813991,1,,,
813992,1,,,
813993,0,,,
813995,0,,,
813996,0,,,
813997,0,,,
813998,0,,,
813999,0,,,
814000,0,,,
814001,0,,,
814002,0,,,
814003,0,,,
814004,0,,,
814005,0,,,
814006,0,,,
814008,0,,,
814009,0,,,
814010,0,,,
814011,0,,,
814012,0,,,
814056,0,,,
814092,0,,,
814576,1,,,
814599,1,,,
814603,0,,,
814604,0,,,
814617,1,,,
814618,1,,,
814630,0,,,
814631,0,,,
814632,0,,,
814681,0,,,
814688,0,812507,,
814692,0,812507,,
814776,1,,,
814777,0,812507,,
814888,1,,,
815232,1,,,
815233,0,,,
815234,1,,,
815235,1,,,
815444,1,,,
815449,0,,,
815450,0,,,
815522,0,,,
815538,0,,,
815544,0,,,
815553,1,,,
815554,1,,,
815610,0,,,
815612,0,,,
815613,0,,,
815614,0,,,
815688,1,,,
815689,0,,,
815690,0,,,
815694,0,,,
815695,0,,,
815696,0,,,
815697,0,,,
815848,0,,,
815900,0,,,
815922,1,,,
815923,1,,,
815995,0,,,
815999,0,,,
816001,0,,,
