_id,Nr_Boczny,Nr_Rej,Brygada,Nazwa_Linii,Ostatnia_Pozycja_Szerokosc,Ostatnia_Pozycja_Dlugosc,Data_Aktualizacji
1,5000,DW8423L,None,None,51.0969200134277,16.991771697998,2012-06-15 18:20:26
2,5318,DW9801J,None,None,51.1475448608398,17.0230159759521,2013-09-03 05:48:43
3,5319,DW9693J,12813,128,51.1475257873535,17.0230979919434,2014-05-15 09:00:52
4,5320,DW9691J,12813,None,51.147819519043,17.0231952667236,2014-10-29 07:15:06
5,5321,DW9635J,14903,None,51.1483383178711,17.0229892730713,2014-10-16 04:52:43
6,5322,DW9872J,14103,141,51.1354217529297,17.0692462921143,2014-09-02 06:49:31
7,5323,DW6057J,14908,None,51.1478652954102,17.0236110687256,2014-05-18 23:13:20
8,5324,DW9810J,14411,144,51.1477851867676,17.0232219696045,2014-10-10 09:56:55
9,5325,DW9684J,None,None,51.1193504333496,16.9514312744141,2012-06-19 16:51:32
10,7000,DW3983J,14211,142,51.1486549377441,17.0221481323242,2018-03-08 06:07:48
11,7001,DW3984J,31902,319,51.1484451293945,17.0220375061035,2020-11-16 06:43:17
12,7002,DW3985J,,None,51.1483688354492,17.0232486724854,2019-03-27 15:27:40
13,7003,DW3986J,10109,None,51.1486206054688,17.0223388671875,2018-03-08 07:30:02
14,7004,DW3987J,,None,51.7672119140625,18.0782241821289,2021-12-06 10:06:44
15,7005,DW3988J,11103,111,51.146411895752,17.0226573944092,2020-11-17 08:45:53
16,7006,DW3989J,12606,None,51.1482925415039,17.02317237854,2020-11-23 09:36:31
17,7007,DW3976J,14003,None,51.148193359375,17.0232524871826,2018-09-14 08:31:13
18,7008,DW3977J,0,None,51.1481590270996,17.0236167907715,2018-05-31 17:11:03
19,7009,DW5453K,14310,None,51.148738861084,17.0234756469727,2020-09-23 15:34:31
20,7010,DW3979J,10908,109,51.1473770141602,17.0223941802979,2018-04-23 18:00:24
21,7011,DW3980J,10907,None,51.1486663818359,17.0221385955811,2020-11-10 09:10:01
22,7012,DW3981J,31902,319,51.1486587524414,17.0204277038574,2020-11-10 09:26:34
23,7013,DW3982J,,None,51.1470413208008,17.0233001708984,2019-04-16 15:47:33
24,7014,DW2687U,10905,109,51.1487617492676,17.0231838226318,2020-11-16 11:36:47
25,7015,DW2686U,10301,None,51.1484527587891,17.0220394134521,2020-11-10 10:27:44
26,7016,DW9664M,,109,51.1477012634277,17.022705078125,2020-11-17 07:49:31
27,7017,DW0043U,,None,51.1485862731934,17.0222206115723,2020-11-16 06:20:15
28,7018,DW2689U,31908,319,51.1486282348633,17.0220241546631,2020-11-25 05:22:18
29,7019,DW0032U,14206,None,51.1462860107422,17.022819519043,2020-11-23 08:15:41
30,7020,DW0013U,31909,319,51.1481285095215,17.0226135253906,2020-11-17 18:11:22
31,7021,DW249AS,71515,None,51.1490097045898,17.0242366790771,2020-11-10 06:55:44
32,7022,DW2682U,25024,250,51.1481018066406,17.0222358703613,2020-11-25 05:00:57
33,7023,DW2690U,11103,111,51.1475296020508,17.0223255157471,2020-11-25 08:41:13
34,7024,DW2683U,31907,None,51.1485443115234,17.0218868255615,2020-11-10 16:02:18
35,7025,DW9667M,74402,None,51.1485786437988,17.0219497680664,2020-10-26 06:18:27
36,7026,DW2691U,11105,None,51.148494720459,17.0217800140381,2020-11-25 09:09:43
37,7027,DW0038U,71504,715,51.1429328918457,17.025239944458,2020-11-16 09:57:23
38,7028,DW2685U,14301,None,51.146541595459,17.0229015350342,2020-11-25 08:42:17
39,7029,DW2692U,12903,None,51.1465492248535,17.0236396789551,2020-11-10 09:18:07
40,7030,DW2693U,60910,609,51.1482391357422,17.0213165283203,2020-11-18 08:26:45
41,7031,DW9663M,10502,None,51.1488418579102,17.0234699249268,2020-11-30 08:35:56
42,7032,DW9724T,,None,51.1484336853027,17.021764755249,2020-09-02 11:07:18
43,7033,DW2684U,11606,None,51.1485290527344,17.0230979919434,2020-12-07 08:01:55
44,7034,DW9665M,14105,None,51.1478576660156,17.0233840942383,2020-12-07 01:09:53
45,7035,DW8037U,,None,51.1483726501465,17.0219249725342,2021-12-17 06:48:19
46,7036,DW8038U,15103,None,51.1490669250488,17.0241565704346,2020-11-16 10:33:35
47,7037,DW524JS,10907,109,51.1485443115234,17.0219326019287,2020-11-25 05:21:24
48,7300,DW364GT,11511,115,51.1147804260254,17.1281890869141,2021-12-17 18:06:08
49,7301,DW293GR,31909,319,51.0967864990234,16.9471950531006,2021-12-17 18:05:47
50,7302,DW270FU,,None,51.1097526550293,17.0296001434326,2021-12-17 17:02:51
51,7303,DW705FU,14304,None,51.1486282348633,17.0233058929443,2021-12-16 19:04:58
52,7304,DW704FU,10105,101,51.1548538208008,16.887767791748,2021-12-17 18:06:08
53,7305,DW604FU,12610,126,51.0976867675781,16.9929180145264,2021-12-17 18:06:09
54,7306,DW266FU,10405,104,51.1570129394531,16.9494647979736,2021-12-17 17:27:07
55,7307,DW510GT,12205,122,51.1241416931152,16.9578838348389,2021-12-17 18:05:57
56,7308,DW265FU,14203,142,51.112606048584,17.012170791626,2021-12-17 18:06:07
57,7309,DW703FU,11502,115,51.0958595275879,17.1658840179443,2021-12-17 18:05:57
58,7310,DW264FU,1,None,51.1483154296875,17.0234966278076,2021-12-17 06:39:53
59,7311,DW046GT,14316,143,51.0931587219238,16.9782676696777,2021-12-17 18:06:07
60,7312,DW291GR,10301,102,51.1484184265137,17.0233211517334,2021-12-17 18:05:01
61,7313,DW508GT,10501,105,51.154411315918,17.0144691467285,2021-12-17 18:06:20
62,7314,DW391GT,10409,104,51.1554374694824,16.9491291046143,2021-12-17 18:03:35
63,7315,DW047GT,10503,None,51.1323585510254,17.0652542114258,2021-12-17 17:54:19
64,7316,DW049GT,14002,140,51.1290550231934,16.9819278717041,2021-12-17 18:06:19
65,7317,DW390GT,10502,105,51.1692161560059,16.9970932006836,2021-12-17 18:06:07
66,7318,DW509GT,10104,101,51.1491737365723,16.9301815032959,2021-12-17 18:05:37
67,7319,DW289GR,11105,111,51.1150283813477,17.0734710693359,2021-12-17 18:06:07
68,7320,DW389GT,11509,115,51.1064147949219,17.1435585021973,2021-12-17 18:06:17
69,7321,DW575GS,11110,143,51.1482162475586,17.0228996276855,2021-12-17 06:51:37
70,7322,DW852GS,12712,None,51.1279449462891,16.990629196167,2021-12-17 17:16:33
71,7323,DW854GS,12701,127,51.0747413635254,17.0162010192871,2021-12-17 18:06:04
72,7324,DW568GS,12611,126,51.1306457519531,16.9833850860596,2021-12-17 18:06:21
73,7325,DW571GS,10103,101,51.143913269043,16.9501628875732,2021-12-17 18:06:08
74,7326,DW573GS,12206,122,51.1223945617676,16.9616260528564,2021-12-17 18:05:32
75,7327,DW570GS,12203,122,51.1255912780762,16.9843654632568,2021-12-17 18:05:56
76,7328,DW572GS,13003,130,51.1371383666992,17.0469741821289,2021-12-17 18:06:07
77,7329,DW574GS,11604,116,51.1121788024902,17.062837600708,2021-12-17 18:06:17
78,7330,DW851GS,12910,129,51.1220817565918,16.9375305175781,2021-12-17 18:06:07
79,7331,DW853GS,10804,108,51.1248016357422,17.0347671508789,2021-12-17 18:06:09
80,7332,DW860GS,11503,115,51.1136207580566,17.0923023223877,2021-12-17 18:06:21
81,7333,DW859GS,12705,127,51.115608215332,17.0139636993408,2021-12-17 18:06:06
82,7334,DW858GS,10504,105,51.1966857910156,16.9750308990479,2021-12-17 18:06:06
83,7335,DW857GS,11607,116,51.134521484375,17.0584888458252,2021-12-17 18:06:08
84,7336,DW855GS,12707,127,51.1166801452637,17.0101833343506,2021-12-17 18:06:09
85,7337,DW856GS,12706,127,51.1078453063965,17.0213413238525,2021-12-17 18:06:19
86,7338,DW861GS,14310,143,51.078441619873,17.0341720581055,2021-12-17 18:06:17
87,7339,DW506KF,11101,111,51.1250991821289,17.0780029296875,2021-12-17 18:06:18
88,7340,DW508KF,12908,129,51.1255722045898,16.9843463897705,2021-12-17 18:06:08
89,7341,DW509KF,73101,731,51.1322135925293,16.9739990234375,2021-12-17 18:05:56
90,7342,DW507KF,12608,126,51.0737533569336,17.0019340515137,2021-12-17 18:05:57
91,7343,DW504KF,15105,151,51.1485748291016,17.0232315063477,2021-12-07 14:52:21
92,7344,DW503KF,12902,None,51.1481971740723,17.0237598419189,2021-12-17 14:47:46
93,7345,DW512KF,11107,111,51.117805480957,17.042064666748,2021-12-17 18:06:09
94,7346,DW513KF,73103,731,51.1426200866699,16.9624271392822,2021-12-17 18:06:07
95,7347,DW514KF,14304,None,51.1483001708984,17.0228672027588,2021-12-17 14:35:33
96,7348,DW516KF,12710,127,51.1081390380859,17.0215473175049,2021-12-17 18:06:09
97,7349,DW517KF,10106,101,51.1448936462402,16.8712940216064,2021-12-17 08:09:16
98,7350,DW518KF,14211,142,51.1216812133789,17.0307273864746,2021-12-17 18:05:56
99,7351,DW519KF,12612,126,51.0677528381348,17.0143775939941,2021-12-17 18:05:25
100,7352,DW704KF,13005,130,51.1552467346191,17.1292324066162,2021-12-17 18:06:07
101,7353,DW705KF,11508,115,51.101806640625,17.1568374633789,2021-12-17 18:06:20
102,7354,DW706KF,12901,129,51.1366119384766,16.9984073638916,2021-12-17 18:05:57
103,7355,DW708KF,11803,118,51.1333618164062,17.1051979064941,2021-12-17 18:06:20
104,7356,DW709KF,14204,142,51.1120414733887,17.0198154449463,2021-12-17 18:05:44
105,7357,DW710KF,31910,319,51.0642929077148,16.9768619537354,2021-12-17 18:05:46
106,8001,DW0602G,,None,51.0765800476074,17.0714168548584,2017-08-23 19:55:47
107,8002,DW4287H,13406,None,51.1460990905762,17.0233402252197,2015-05-03 11:50:47
108,8003,DW9071H,60204,None,51.1461601257324,17.023609161377,2015-05-21 15:12:10
109,8005,DW8340G,None,None,51.0958213806152,16.991418838501,2013-03-05 10:42:47
110,8006,DW8021H,D05,None,51.148567199707,17.0231056213379,2015-06-16 15:46:59
111,8008,DW9493G,60204,None,51.1484985351562,17.0225658416748,2015-12-01 07:46:57
112,8009,DW0094H,40908,409,51.1461486816406,17.0233573913574,2015-11-19 04:03:43
113,8010,DW8621G,13610,None,51.1485328674316,17.0224075317383,2017-08-18 08:08:27
114,8011,DW8733J,10311,None,51.1462059020996,17.0232887268066,2015-11-17 10:48:49
115,8012,DW9412H,24523,245,51.1461524963379,17.0232810974121,2015-11-14 20:49:31
116,8013,DW7358K,13404,None,51.1461868286133,17.0231761932373,2015-11-21 16:14:45
117,8014,DW7098K,13406,None,51.1462249755859,17.0230903625488,2015-11-19 04:03:36
118,8015,DW9148H,11902,None,51.148551940918,17.0228538513184,2015-06-23 08:44:23
119,8016,DW9992H,60207,None,51.146427154541,17.022891998291,2015-07-31 14:19:51
120,8017,DW2544H,11502,None,51.1490707397461,17.0231857299805,2015-12-02 17:42:53
121,8018,DW2968H,A01,None,51.1484184265137,17.0224800109863,2015-08-11 20:46:25
122,8019,DW2546H,60713,None,51.1463584899902,17.0230941772461,2015-11-27 08:15:38
123,8020,DW0084H,13610,None,51.146728515625,17.0235328674316,2015-11-27 11:16:48
124,8021,DW5564G,13402,None,51.1487350463867,17.0233039855957,2015-12-01 21:15:50
125,8022,DW1788H,24525,None,51.1464614868164,17.0230865478516,2015-11-19 04:01:54
126,8023,DW0069K,11904,119,51.1483421325684,17.0224514007568,2015-08-13 14:40:41
127,8024,DW5387C,13609,None,51.1464462280273,17.0230464935303,2015-11-17 07:04:51
128,8025,DW4836H,13603,None,51.1483306884766,17.023754119873,2015-06-22 09:32:08
129,8026,DW1989G,11303,None,51.1465072631836,17.0228424072266,2015-11-05 07:56:35
130,8027,DW8331G,13607,136,51.146614074707,17.0228729248047,2015-11-18 03:47:36
131,8028,DW77530,24105,None,51.1491203308105,17.0235843658447,2017-10-12 09:56:23
132,8029,DW77064,13406,None,51.1486396789551,17.0214290618896,2017-06-02 00:36:25
133,8030,DW76409,13403,None,51.1497383117676,17.0230808258057,2017-06-08 19:15:13
134,8031,DW75729,12703,None,51.1463813781738,17.022632598877,2017-06-22 20:39:13
135,8032,DW76102,12710,127,51.1462249755859,17.0241832733154,2017-06-16 04:34:31
136,8033,DW77386,12701,127,51.1464996337891,17.0243911743164,2017-07-19 05:06:18
137,8034,DW78793,10208,None,51.1473617553711,17.0224990844727,2017-11-04 06:20:51
138,8035,DW77968,10305,103,51.1478271484375,17.0225944519043,2017-10-28 10:44:54
139,8036,DW82327,12704,None,51.1478004455566,17.0227546691895,2017-06-30 01:15:13
140,8037,DW76101,C04,C,51.1485137939453,17.0230560302734,2017-10-09 08:57:41
141,8038,DW78794,14408,None,51.1483535766602,17.0221080780029,2015-08-12 16:59:47
142,8039,DW79511,C07,None,51.1478614807129,17.022533416748,2017-06-16 23:40:16
143,8040,DW79815,12704,None,51.1480751037598,17.0213584899902,2017-08-07 11:39:06
144,8041,DW79806,A06,None,51.1480941772461,17.0224609375,2017-07-13 14:20:52
145,8042,DW76408,12701,127,51.1482048034668,17.0224456787109,2015-07-29 14:38:38
146,8043,DW77065,13403,None,51.1482238769531,17.0233497619629,2017-07-14 22:16:30
147,8044,DW77619,12702,None,51.1375541687012,16.9689865112305,2016-11-02 18:58:40
148,8045,DW77937,12705,None,51.1481666564941,17.0218849182129,2016-05-04 18:24:02
149,8046,DW25641,K14,None,51.1461067199707,17.0234107971191,2018-06-09 10:09:50
150,8047,DW67690,12108,121,51.1486587524414,17.0233192443848,2020-12-07 11:34:39
151,8048,DW67682,13201,132,51.1489944458008,17.0220355987549,2019-10-17 01:08:56
152,8049,DW67699,,None,51.1496925354004,17.022518157959,2018-04-17 17:55:22
153,8050,DW0963R,0,None,51.1488151550293,17.0245132446289,2018-04-20 09:56:33
154,8051,DW67681,A04,A,51.149600982666,17.022985458374,2019-09-18 07:57:01
155,8052,DW5529F,N15,None,51.1488761901855,17.0217781066895,2019-10-06 06:37:33
156,8053,DW71329,D04,A,51.147289276123,17.0230827331543,2019-10-06 08:10:35
157,8054,DW83893,14805,246,51.1486015319824,17.0240135192871,2019-10-15 16:24:10
158,8055,DW0841R,,None,51.0424957275391,16.8884181976318,2019-10-06 13:13:34
159,8056,DW73592,N17,None,51.1489181518555,17.0243968963623,2020-11-06 16:33:18
160,8057,DW67686,10305,103,51.0431251525879,16.8876876831055,2019-10-08 06:22:20
161,8058,DW67688,11509,None,51.1493148803711,17.022632598877,2018-06-30 00:24:19
162,8059,DW67687,13614,None,51.1469802856445,17.0226783752441,2019-10-16 14:08:10
163,8060,DW67683,11902,119,51.149845123291,17.0228137969971,2018-05-30 01:07:45
164,8061,DW67689,N04,N,51.1487464904785,17.0216598510742,2019-09-17 01:05:43
165,8062,DW67684,10101,None,51.0431785583496,16.887659072876,2019-10-07 10:49:01
166,8063,DW67685,14409,None,51.1468315124512,17.0227813720703,2019-09-18 17:40:52
167,8064,DW70791,A04,A,51.1489524841309,17.0244159698486,2018-04-09 07:39:32
168,8065,DW70792,A05,None,51.1495780944824,17.0223827362061,2018-04-21 13:16:32
169,8066,DW70785,A02,A,51.149600982666,17.0229797363281,2019-04-19 10:05:32
170,8067,DW70786,0,None,51.1499214172363,17.0226383209229,2018-05-24 10:31:27
171,8068,DW70784,25524,115,51.1470146179199,17.0225982666016,2019-05-30 00:03:51
172,8069,DW73594,,None,51.1487083435059,17.0235137939453,2020-11-25 16:31:14
173,8070,DW73681,12810,None,51.1490821838379,17.0221691131592,2019-10-06 06:37:02
174,8071,DW73682,13615,None,51.1496200561523,17.0224723815918,2018-04-22 05:16:35
175,8072,DW73596,13612,136,51.1497116088867,17.0225715637207,2018-05-21 19:05:00
