source,target,route_id,time
KRZYKI-11310,Sowia-16513,A,1
Sowia-16513,Chłodna-16515,A,1
Chłodna-16515,Wawrzyniaka-16517,A,1
Wawrzyniaka-16517,Rymarska-11547,A,2
Rymarska-11547,RACŁAWICKA-11549,A,1
RACŁAWICKA-11549,Bukowskiego-17137,A,1
Bukowskiego-17137,Stanki-17135,A,1
Stanki-17135,Kadłubka-17133,A,1
Kadłubka-17133,Wiejska-17104,A,1
Wiejska-17104,Solskiego-17102,A,1
Solskiego-17102,GRABISZYŃSKA (Cmentarz)-11720,A,2
GRABISZYŃSKA (Cmentarz)-11720,FAT-11726,A,3
FAT-11726,Aleja Pracy-11724,A,2
Aleja Pracy-11724,Inżynierska-11722,A,2
Inżynierska-11722,Krucza (Mielecka)-11524,A,2
Krucza (Mielecka)-11524,Krucza-11522,A,2
Krucza-11522,Pl. Hirszfelda-11336,A,3
Pl. Hirszfelda-11336,Arkady (Capitol)-10366,A,7
Arkady (Capitol)-10366,Dworzec Główny (Dworcowa)-20334,A,4
Dworzec Główny (Dworcowa)-20334,skwer Krasińskiego-20336,A,1
skwer Krasińskiego-20336,Krasińskiego-20332,A,1
Krasińskiego-20332,Urząd Wojewódzki (Muzeum Narodowe)-20303,A,3
Urząd Wojewódzki (Muzeum Narodowe)-20303,Katedra-20931,A,1
Katedra-20931,Ogród Botaniczny-20903,A,2
Ogród Botaniczny-20903,Wyszyńskiego-20721,A,2
Wyszyńskiego-20721,Damrota-20723,A,1
Damrota-20723,KROMERA-24112,A,5
KROMERA-24112,Berenta-23731,A,2
Berenta-23731,pl. Daniłowskiego-23733,A,3
pl. Daniłowskiego-23733,Przybyszewskiego-23709,A,1
Przybyszewskiego-23709,Czajkowskiego-23715,A,3
Czajkowskiego-23715,KOSZAROWA (Uniwersytet)-23725,A,2
KOSZAROWA (Szpital)-23710,pl. Daniłowskiego-23734,A,3
pl. Daniłowskiego-23734,Berenta-23732,A,1
Berenta-23732,KROMERA-24102,A,4
KROMERA-24102,Mosty Warszawskie-20724,A,2
Mosty Warszawskie-20724,Wyszyńskiego-20722,A,2
Wyszyńskiego-20722,Ogród Botaniczny-120831,A,3
Ogród Botaniczny-120831,Katedra-20932,A,1
Katedra-20932,Urząd Wojewódzki (Muzeum Narodowe)-20304,A,1
Urząd Wojewódzki (Muzeum Narodowe)-20304,Poczta Główna-20302,A,2
Poczta Główna-20302,skwer Krasińskiego-20337,A,3
skwer Krasińskiego-20337,Wzgórze Partyzantów-10333,A,1
Wzgórze Partyzantów-10333,Renoma-10335,A,2
Renoma-10335,Arkady (Capitol)-10365,A,2
Arkady (Capitol)-10365,Pl. Hirszfelda-11335,A,5
Pl. Hirszfelda-11335,Krucza-11521,A,2
Krucza-11521,Krucza (Mielecka)-11523,A,1
Krucza (Mielecka)-11523,Inżynierska-11721,A,2
Inżynierska-11721,Aleja Pracy-11723,A,3
Aleja Pracy-11723,FAT-11712,A,5
FAT-11712,GRABISZYŃSKA (Cmentarz)-11719,A,2
GRABISZYŃSKA (Cmentarz)-11719,Solskiego-17101,A,2
Solskiego-17101,Wiejska-17132,A,3
Wiejska-17132,Kadłubka-17134,A,1
Kadłubka-17134,Stanki-17136,A,1
Stanki-17136,Bukowskiego-17138,A,1
Bukowskiego-17138,RACŁAWICKA-11550,A,1
RACŁAWICKA-11550,Rymarska-11548,A,1
Rymarska-11548,Wawrzyniaka-16518,A,1
Wawrzyniaka-16518,Chłodna-16516,A,1
Chłodna-16516,Sowia-16514,A,3
Sowia-16514,KRZYKI-11310,A,1
PL. GRUNWALDZKI-20921,PL. GRUNWALDZKI-120820,C,3
PL. GRUNWALDZKI-120820,Katedra-20931,C,3
Katedra-20931,pl. Bema-20906,C,2
pl. Bema-20906,Dubois-10716,C,3
Dubois-10716,Dmowskiego-10523,C,3
Dmowskiego-10523,Długa-10525,C,2
Długa-10525,Poznańska-110423,C,1
Poznańska-110423,DŁUGA (Politechnika)-10517,C,1
DŁUGA (Politechnika)-10517,Rysia-12313,C,2
Rysia-12313,Wejherowska-12315,C,1
Wejherowska-12315,Kolista-12711,C,3
Kolista-12711,Wiślańska-12713,C,2
Wiślańska-12713,Dzielna-12715,C,1
Dzielna-12715,KOZANÓW-12736,C,2
KOZANÓW-12736,Dzielna-12716,C,1
Dzielna-12716,Wiślańska-12714,C,1
Wiślańska-12714,Kolista-12712,C,2
Kolista-12712,Kwiska-12318,C,4
Kwiska-12318,Wejherowska-12316,C,2
Wejherowska-12316,Rysia-12314,C,1
Rysia-12314,DŁUGA (Politechnika)-10518,C,3
DŁUGA (Politechnika)-10518,Poznańska-110424,C,1
Poznańska-110424,Długa-10524,C,1
Długa-10524,Dmowskiego-10555,C,4
Dmowskiego-10555,Pomorska-110655,C,2
Pomorska-110655,pl. Bema-20905,C,4
pl. Bema-20905,Katedra-20909,C,3
Katedra-20909,PL. GRUNWALDZKI-120823,C,3
GIEŁDOWA (Centrum Hurtu)-17119,Marchewkowa-17117,D,1
Marchewkowa-17117,WAŁBRZYSKA-16704,D,1
WAŁBRZYSKA-16704,Kościelna-16702,D,1
Kościelna-16702,KLECINA-16506,D,1
KLECINA-16506,Skarbowców-16500,D,1
Skarbowców-16500,Os. Przyjaźni-16504,D,1
Os. Przyjaźni-16504,Zimowa-16502,D,1
Zimowa-16502,KRZYKI-11308,D,3
KRZYKI-11308,Orla-11306,D,1
Orla-11306,Hallera-11304,D,3
Hallera-11304,Rondo-11302,D,3
Rondo-11302,Arkady (Capitol)-10366,D,7
Arkady (Capitol)-10366,GALERIA DOMINIKAŃSKA-10111,D,6
GALERIA DOMINIKAŃSKA-10111,Urząd Wojewódzki (Impart)-20301,D,3
Urząd Wojewódzki (Impart)-20301,most Grunwaldzki-120821,D,2
most Grunwaldzki-120821,PL. GRUNWALDZKI-120823,D,2
PL. GRUNWALDZKI-120823,Kochanowskiego-124201,D,4
Kochanowskiego-124201,Śniadeckich-24303,D,2
Śniadeckich-24303,Zacisze-24305,D,2
Zacisze-24305,Kwidzyńska-24131,D,2
Kwidzyńska-24131,Brücknera-24133,D,2
Brücknera-24133,Psie Pole-29103,D,5
Psie Pole-29103,Psie Pole (Rondo Lotników Polskich)-29129,D,2
Psie Pole (Rondo Lotników Polskich)-29129,Kopańskiego-29539,D,1
Kopańskiego-29539,Wallenroda-29503,D,3
Wallenroda-29503,Królewska-29521,D,3
Królewska-29521,OSIEDLE SOBIESKIEGO-29530,D,1
OSIEDLE SOBIESKIEGO-29530,Królewska-29522,D,1
Królewska-29522,Wallenroda-29504,D,2
Wallenroda-29504,Psie Pole (Rondo Lotników Polskich)-29128,D,3
Psie Pole (Rondo Lotników Polskich)-29128,Psie Pole-29104,D,1
Psie Pole-29104,Brücknera-24134,D,4
Brücknera-24134,Kwidzyńska-24132,D,2
Kwidzyńska-24132,Zacisze-24306,D,1
Zacisze-24306,Śniadeckich-24304,D,1
Śniadeckich-24304,Kochanowskiego-124202,D,3
Kochanowskiego-124202,PL. GRUNWALDZKI-120820,D,4
PL. GRUNWALDZKI-120820,most Grunwaldzki-120822,D,2
most Grunwaldzki-120822,Poczta Główna-20302,D,3
Poczta Główna-20302,GALERIA DOMINIKAŃSKA-10126,D,3
GALERIA DOMINIKAŃSKA-10126,Renoma-10335,D,4
Renoma-10335,Arkady (Capitol)-10365,D,2
Arkady (Capitol)-10365,Rondo-11301,D,4
Rondo-11301,Hallera-11303,D,3
Hallera-11303,Orla-11305,D,3
Orla-11305,KRZYKI-11307,D,2
KRZYKI-11307,Zimowa-16501,D,2
Zimowa-16501,Os. Przyjaźni-16503,D,1
Os. Przyjaźni-16503,Skarbowców-16505,D,1
Skarbowców-16505,KLECINA-16531,D,1
KLECINA-16531,Kościelna-16701,D,1
Kościelna-16701,WAŁBRZYSKA-16705,D,2
WAŁBRZYSKA-16705,Marchewkowa-17118,D,3
Marchewkowa-17118,GIEŁDOWA (Centrum Hurtu)-17119,D,3
KAMIEŃSKIEGO (pętla)-23165,Kamieńskiego (Szpital)-23170,K,1
Kamieńskiego (Szpital)-23170,Jutrosińska-23164,K,2
Jutrosińska-23164,Mochnackiego-23162,K,1
Mochnackiego-23162,Kamieńskiego-23124,K,2
Kamieńskiego-23124,Broniewskiego-23141,K,2
